date,pnl,total_profit,n,equity_bt,year
2019-01-02,0.0,0.0,0,60000000.0,2019
2019-01-03,0.0,0.0,0,60000000.0,2019
2019-01-04,0.0,0.0,0,60000000.0,2019
2019-01-07,-53100.0,-53100.0,1,59946900.0,2019
2019-01-08,884978.098686988,831878.098686988,3,60831878.098686986,2019
2019-01-09,180245.29261201044,1012123.3912989984,11,61012123.391299,2019
2019-01-10,35012.12569037472,1047135.5169893731,19,61047135.51698937,2019
2019-01-11,-5322.6270863643385,1041812.8899030088,24,61041812.88990301,2019
2019-01-14,-61634.9867185232,980177.9031844856,31,60980177.90318449,2019
2019-01-15,64225.20156785149,1044403.1047523371,35,61044403.10475234,2019
2019-01-16,-15003.09051894015,1029400.014233397,41,61029400.014233395,2019
2019-01-17,-42946.19118550506,986453.823047892,44,60986453.82304789,2019
2019-01-18,78819.76178783158,1065273.5848357235,46,61065273.58483572,2019
2019-01-21,47717.16542160923,1112990.7502573328,46,61112990.750257336,2019
2019-01-22,-16922.778727619843,1096067.971529713,46,61096067.971529715,2019
2019-01-23,3251.869803477415,1099319.8413331902,47,61099319.84133319,2019
2019-01-24,48080.203073900615,1147400.0444070909,47,61147400.04440709,2019
2019-01-25,116918.77720165234,1264318.8216087432,48,61264318.821608745,2019
2019-01-28,-28007.101383851415,1236311.7202248918,49,61236311.720224895,2019
2019-01-29,-61492.71430155006,1174819.0059233417,49,61174819.00592334,2019
2019-01-30,-17999.17751304193,1156819.8284102997,50,61156819.8284103,2019
2019-02-11,102732.59838207073,1259552.4267923704,50,61259552.42679237,2019
2019-02-12,138466.41055658506,1398018.8373489555,50,61398018.83734895,2019
2019-02-13,160038.786405485,1558057.6237544403,50,61558057.62375444,2019
2019-02-14,-64817.90061758135,1493239.723136859,50,61493239.72313686,2019
2019-02-15,-33252.67336113368,1459987.0497757252,50,61459987.04977573,2019
2019-02-18,84771.09526177515,1544758.1450375004,50,61544758.1450375,2019
2019-02-19,49659.199882763416,1594417.3449202639,50,61594417.34492026,2019
2019-02-20,46263.02209780178,1640680.3670180656,50,61640680.36701807,2019
2019-02-21,20848.197918877613,1661528.5649369434,50,61661528.56493694,2019
2019-02-22,-35867.55507156682,1625661.0098653766,50,61625661.00986537,2019
2019-02-25,57439.65775852987,1683100.6676239064,50,61683100.66762391,2019
2019-02-26,61855.87119128339,1744956.5388151899,50,61744956.53881519,2019
2019-02-27,-57415.407265736954,1687541.131549453,50,61687541.131549455,2019
2019-03-04,7250.577580522818,1694791.7091299756,50,61694791.709129974,2019
2019-03-05,-29355.796924750885,1665435.9122052249,50,61665435.91220523,2019
2019-03-06,36840.498277941304,1702276.410483166,50,61702276.41048317,2019
2019-03-07,-119846.1789684371,1582430.231514729,50,61582430.23151473,2019
2019-03-08,-13912.222323389113,1568518.00919134,52,61568518.00919134,2019
2019-03-11,-13006.824534994264,1555511.1846563458,53,61555511.184656344,2019
2019-03-12,2711.9141515808765,1558223.0988079265,53,61558223.09880792,2019
2019-03-13,-9182.988751554267,1549040.1100563724,53,61549040.11005637,2019
2019-03-14,3994.122635348601,1553034.232691721,53,61553034.23269172,2019
2019-03-15,34717.82342406564,1587752.0561157868,53,61587752.056115784,2019
2019-03-18,45062.5773723482,1632814.633488135,51,61632814.63348813,2019
2019-03-19,24766.562251615465,1657581.1957397505,51,61657581.19573975,2019
2019-03-20,8129.640724673822,1665710.8364644244,51,61665710.83646443,2019
2019-03-21,59067.62390371409,1724778.4603681385,51,61724778.46036814,2019
2019-03-22,26325.669163981875,1751104.1295321204,52,61751104.12953212,2019
2019-03-25,-87921.59703978512,1663182.5324923354,53,61663182.53249233,2019
2019-03-26,81394.73090846855,1744577.263400804,53,61744577.2634008,2019
2019-03-27,13336.086346398388,1757913.3497472024,53,61757913.3497472,2019
2019-03-28,25750.067785521962,1783663.4175327243,55,61783663.41753273,2019
2019-03-29,45585.60315678599,1829249.0206895103,56,61829249.02068951,2019
2019-04-01,-491.20141385721035,1828757.819275653,56,61828757.819275655,2019
2019-04-02,65330.502401923906,1894088.321677577,56,61894088.32167758,2019
2019-04-03,-18259.3591017453,1875828.9625758317,58,61875828.96257583,2019
2019-04-08,46350.86417600528,1922179.826751837,58,61922179.826751836,2019
2019-04-09,45158.992192587066,1967338.8189444242,60,61967338.818944424,2019
2019-04-10,-12910.74312530632,1954428.075819118,60,61954428.07581912,2019
2019-04-11,-18461.744288013648,1935966.3315311044,60,61935966.33153111,2019
2019-04-12,-48548.30789034321,1887418.0236407612,62,61887418.02364076,2019
