date,pnl,total_profit,n,equity_12M
2019-01-02,0.0,0.0,0,12000000.0
2019-01-03,0.0,0.0,0,12000000.0
2019-01-04,0.0,0.0,0,12000000.0
2019-01-07,0.0,0.0,0,12000000.0
2019-01-08,-17100.0,-17100.0,2,11982900.0
2019-01-09,18579.621848361778,1479.6218483617777,5,12001479.621848362
2019-01-10,116959.00044707261,118438.62229543438,5,12118438.622295434
2019-01-11,-135882.3110299154,-17443.688734481024,5,11982556.311265519
2019-01-14,131446.76935322717,114003.08061874614,5,12114003.080618747
2019-01-15,50114.40904748348,164117.48966622964,4,12164117.48966623
2019-01-16,-71481.29617906426,92636.19348716538,5,12092636.193487165
2019-01-17,-149027.95543060586,-56391.76194344048,3,11943608.23805656
2019-01-18,366020.81336812105,309629.05142468057,4,12309629.05142468
2019-01-21,12953.532173116706,322582.58359779726,3,12322582.583597798
2019-01-22,-147457.2769953052,175125.30660249206,2,12175125.306602493
2019-01-23,-74773.18030380936,100352.12629868269,2,12100352.126298683
2019-01-24,115140.46014752085,215492.58644620352,2,12215492.586446203
2019-01-25,224756.12477010913,440248.71121631266,3,12440248.711216312
2019-01-28,-37212.78588108804,403035.9253352246,5,12403035.925335225
2019-01-29,-80171.46199733808,322864.4633378865,2,12322864.463337887
2019-01-30,-57558.17583709575,265306.2875007907,3,12265306.287500791
2019-02-11,431233.6253913729,696539.9128921636,2,12696539.912892163
2019-02-12,41368.42683676376,737908.3397289274,4,12737908.339728927
2019-02-13,243986.03549508567,981894.375224013,3,12981894.375224013
2019-02-14,-121499.88562714477,860394.4895968682,1,12860394.489596868
2019-02-15,-154955.67010309303,705438.8194937751,0,12705438.819493774
2019-02-18,0.0,705438.8194937751,0,12705438.819493774
2019-02-19,0.0,705438.8194937751,0,12705438.819493774
2019-02-20,0.0,705438.8194937751,0,12705438.819493774
2019-02-21,0.0,705438.8194937751,0,12705438.819493774
2019-02-22,0.0,705438.8194937751,0,12705438.819493774
2019-02-25,-17100.0,688338.8194937751,1,12688338.819493774
2019-02-26,-55711.66768478858,632627.1518089866,1,12632627.151808986
2019-02-27,55971.52326009508,688598.6750690816,1,12688598.675069083
2019-03-04,0.0,688598.6750690816,1,12688598.675069083
2019-03-05,0.0,688598.6750690816,1,12688598.675069083
2019-03-06,57177.7642028101,745776.4392718917,1,12745776.439271891
2019-03-07,-56906.61478599231,688869.8244858994,1,12688869.8244859
2019-03-08,57177.7642028101,746047.5886887095,1,12746047.588688709
2019-03-11,-56906.61478599231,689140.9739027172,1,12689140.973902717
2019-03-12,112889.43188760079,802030.405790318,1,12802030.405790318
2019-03-13,0.0,802030.405790318,1,12802030.405790318
2019-03-14,-55192.44734931149,746837.9584410065,1,12746837.958441006
2019-03-15,55447.47081712204,802285.4292581285,1,12802285.429258129
2019-03-18,0.0,802285.4292581285,1,12802285.429258129
2019-03-19,0.0,802285.4292581285,1,12802285.429258129
2019-03-20,-17100.0,785185.4292581285,2,12785185.429258129
2019-03-21,-26532.408575031204,758653.0206830973,3,12758653.020683097
2019-03-22,-30603.910412918485,728049.1102701789,3,12728049.11027018
2019-03-25,-163426.50602409654,564622.6042460824,3,12564622.604246082
2019-03-26,-3472.9069409017393,561149.6973051806,3,12561149.69730518
2019-03-27,82448.78809695225,643598.4854021329,2,12643598.485402133
2019-03-28,-59080.12048192807,584518.3649202047,1,12584518.364920205
2019-03-29,39028.56800191901,623546.9329221237,2,12623546.932922123
2019-04-01,294915.72377176455,918462.6566938882,2,12918462.656693889
2019-04-02,10561.69225811406,929024.3489520024,5,12929024.348952003
2019-04-03,-45115.67009825654,883908.6788537458,5,12883908.678853747
2019-04-08,160522.17930211517,1044430.858155861,5,13044430.858155861
2019-04-09,182260.90384147645,1226691.7619973375,5,13226691.761997338
2019-04-10,-119535.92896614598,1107155.8330311915,4,13107155.833031192
2019-04-11,61206.615708151236,1168362.4487393426,3,13168362.448739342
2019-04-12,-31106.2764974962,1137256.1722418463,5,13137256.172241846
2019-04-15,79950.28508278416,1217206.4573246306,5,13217206.457324632
2019-04-16,-30708.179528241668,1186498.2777963888,4,13186498.27779639
2019-04-17,363356.6250412528,1549854.9028376415,4,13549854.902837642
2019-04-18,-164729.11683532665,1385125.7860023149,2,13385125.786002316
2019-04-19,126498.0483401693,1511623.8343424841,4,13511623.834342483
2019-04-22,386533.83542161866,1898157.669764103,4,13898157.669764103
