,ticker,type,entry_date,exit_date,entry_p,exit_p,pnl_net
0,4979,long,2019-11-05,2019-11-06,25.77,24.86805,-157699.9999999999
1,3653,long,2019-11-06,2019-11-11,155.76,155.9054,-13966.05033384707
2,3131,long,2019-11-05,2019-11-19,175.5,180.3006,91715.38461538468
3,3661,long,2019-11-19,2019-11-20,214.85,207.33024999999998,-157700.0000000003
4,2317,long,2019-11-05,2019-11-22,70.46,71.55,44179.08032926503
5,4938,long,2019-11-11,2019-11-26,46.85,49.3,191478.22838847348
6,2357,long,2019-11-20,2019-11-26,159.13,154.207,-141447.87909256588
7,2368,long,2019-11-22,2019-11-28,15.67,15.21805,-133066.94320357373
8,5457,long,2019-11-28,2019-11-29,70.21,67.75264999999999,-157700.00000000032
9,1565,long,2019-11-26,2019-12-02,353.69,346.90785,-94401.63137210553
10,3680,long,2019-11-26,2019-12-04,130.86,157.42045,794173.7582148853
11,5457,long,2019-11-29,2019-12-13,65.32,76.68854999999999,678475.7501530926
12,3152,long,2019-12-02,2019-12-13,243.65,269.22535,402170.30576646805
13,3680,long,2019-12-04,2019-12-20,156.85,170.8243,338673.6053554351
14,3131,long,2019-12-13,2019-12-20,229.66,233.3756,47014.7957850735
15,6223,long,2019-12-13,2019-12-23,67.13,65.18575,-133549.84358706968
16,3260,long,2019-12-20,2020-01-02,51.69,53.05,87542.79357709418
17,2207,long,2019-12-20,2020-01-02,583.23,575.84445,-68352.74420040098
18,3081,long,2020-01-02,2020-01-03,288.11,278.02615000000003,-157699.99999999977
19,3264,long,2019-12-23,2020-01-06,23.12,22.822249999999997,-69213.84083045056
20,2327,long,2020-01-02,2020-01-07,95.36,98.7774,125647.31543624162
21,3081,long,2020-01-03,2020-01-07,276.37,266.69705,-157700.0000000002
22,5289,long,2020-01-06,2020-01-07,124.41,120.05564999999999,-157700.00000000035
23,3227,long,2020-01-07,2020-01-08,115.6,112.23,-134308.99653979205
24,6173,long,2020-01-07,2020-01-10,54.55,55.61,60026.856095325566
